------------------------------
STARTING CAPTURE ON 2015-08-05 20:32:04.357805
-----------------------------------------------
**************************************
STARTING CAPTURE ON 2015-08-05 20:38:02.695066
**************************************
2015-08-05 20:38:02.695298 | KARMA Access Point Detection | aa:bb:cc:dd:ee:ff | 10 | True
**************************************
STARTING CAPTURE ON 2015-08-05 20:51:43.363046
**************************************
2015-08-05 20:51:43.363228 | 10 | KARMA Access Point Detection | aa:bb:cc:dd:ee:ff | 3 | True
2015-08-05 20:55:58.731296 | 10 | KARMA Access Point Detection | ['00:C0:CA:60:DC:B6\n', '00:C0:CA:60:DC:B6\n', '00:C0:CA:60:DC:B6\n'] | 3 | True
2015-08-05 21:09:46.826191 | 3 | Possible Airbase-NG Access Point Detection | F | 11
2015-08-07 02:39:36.234738 |Severity : 10 |MESSAGE : BSSID Adresss has been chnaged from c0:4a:00:e4:b6:70 |SSID : lyre |bSSID : aa:11:22:bb:cc:33 |Channel : 1
2015-08-07 02:39:36.486703 |Severity : 10 |MESSAGE : Sequence Numbers Irregular  |SSID : lyre |bSSID : c0:4a:00:e4:b6:70 |Channel : 1
2015-08-07 02:39:36.487678 |Severity : 9 |MESSAGE :  Possible Evil Twin Timestamp Sequence Change c0:4a:00:e4:b6:70 |SSID : lyre |bSSID : c0:4a:00:e4:b6:70 |Channel : 1
2015-08-07 02:39:39.046901 |Severity : 9 |MESSAGE :  Possible Evil Twin Timestamp Sequence Change c0:4a:00:e4:b6:70 |SSID : lyre |bSSID : c0:4a:00:e4:b6:70 |Channel : 1
2015-08-07 02:39:41.607300 |Severity : 9 |MESSAGE :  Possible Evil Twin Timestamp Sequence Change c0:4a:00:e4:b6:70 |SSID : lyre |bSSID : c0:4a:00:e4:b6:70 |Channel : 1
2015-08-10 22:33:41.013348 |Severity 9 |MESSAGE  Possible Evil Twin Timestamp Sequence Change 00:13:10:65:94:33 |SSID dd-wrt |BSSID 00:13:10:65:94:33 |Channel 6
2015-08-10 22:33:41.773177 |Severity 10 |MESSAGE BSSID Adresss has been chnaged from 00:13:10:65:94:33 |SSID dd-wrt |BSSID 00:13:32:64:94:33 |Channel 6
2015-08-10 22:33:43.264347 |Severity 10 |MESSAGE BSSID Adresss has been chnaged from 00:13:10:65:94:33 |SSID dd-wrt |BSSID 00:13:10:65:94:77 |Channel 6
2015-08-10 22:33:43.573036 |Severity 10 |MESSAGE Sequence Numbers Irregular  |SSID dd-wrt |BSSID 00:13:10:65:94:33 |Channel 6
2015-08-10 22:33:43.573929 |Severity 9 |MESSAGE  Possible Evil Twin Timestamp Sequence Change 00:13:10:65:94:33 |SSID dd-wrt |BSSID 00:13:10:65:94:33 |Channel 6
2015-08-10 22:33:44.797528 |Severity 10 |MESSAGE BSSID Adresss has been chnaged from 00:13:10:65:94:33 |SSID dd-wrt |BSSID 00:13:10:f4:94:33 |Channel 6
2015-08-10 22:33:46.235583 |Severity 9 |MESSAGE  Possible Evil Twin Timestamp Sequence Change 00:13:10:65:94:33 |SSID dd-wrt |BSSID 00:13:10:65:94:33 |Channel 6
2015-08-11 20:48:52.611555 |Severity 10 |MESSAGE Sequence Numbers Irregular  |SSID lyre |BSSID c0:4a:00:e4:b6:70 |Channel 1
2015-08-11 20:50:25.956185 |Severity 10 |MESSAGE BSSID Adresss has been chnaged from 00:13:10:65:94:33 |SSID dd-wrt |BSSID 02:13:10:65:94:33 |Channel 6
2015-08-11 20:50:26.573264 |Severity 9 |MESSAGE  Possible Evil Twin Timestamp Sequence Change 00:13:10:65:94:33 |SSID dd-wrt |BSSID 00:13:10:65:94:33 |Channel 6
2015-08-11 20:50:28.105089 |Severity 10 |MESSAGE BSSID Adresss has been chnaged from 00:13:10:65:94:33 |SSID dd-wrt |BSSID 00:03:19:65:94:33 |Channel 6
2015-08-11 20:50:29.235692 |Severity 9 |MESSAGE  Possible Evil Twin Timestamp Sequence Change 00:13:10:65:94:33 |SSID dd-wrt |BSSID 00:13:10:65:94:33 |Channel 6
2015-08-11 20:50:29.874170 |Severity 10 |MESSAGE BSSID Adresss has been chnaged from 00:13:10:65:94:33 |SSID dd-wrt |BSSID 00:13:10:65:94:11 |Channel 6
2015-08-15 23:29:33.442918 |Severity 10 |MESSAGE BSSID Adresss has been chnaged from 00:13:10:65:94:33 |SSID dd-wrt |BSSID 00:13:10:65:14:7b |Channel 6
2015-08-15 23:29:34.164281 |Severity 10 |MESSAGE BSSID Adresss has been chnaged from 00:13:10:65:94:33 |SSID dd-wrt |BSSID 01:13:10:65:94:33 |Channel 6
2015-08-15 23:29:35.394887 |Severity 10 |MESSAGE Sequence Numbers Irregular  |SSID dd-wrt |BSSID 00:13:10:65:94:33 |Channel 6
2015-08-15 23:29:38.057239 |Severity 10 |MESSAGE Sequence Numbers Irregular  |SSID dd-wrt |BSSID 00:13:10:65:94:33 |Channel 6
2015-08-15 23:29:38.058325 |Severity 9 |MESSAGE  Possible Evil Twin Timestamp Sequence Change 00:13:10:65:94:33 |SSID dd-wrt |BSSID 00:13:10:65:94:33 |Channel 6
2015-08-15 23:29:38.779228 |Severity 10 |MESSAGE BSSID Adresss has been chnaged from 00:13:10:65:94:33 |SSID dd-wrt |BSSID 00:13:98:61:94:33 |Channel 6
2015-08-15 23:29:39.385502 |Severity 10 |MESSAGE BSSID Adresss has been chnaged from 00:13:10:65:94:33 |SSID dd-wrt |BSSID 00:13:10:65:1c:37 |Channel 6
2015-08-15 23:29:39.898748 |Severity 10 |MESSAGE BSSID Adresss has been chnaged from 00:13:10:65:94:33 |SSID dd-wrt |BSSID 00:13:50:41:94:33 |Channel 6
2015-08-15 23:29:40.001390 |Severity 10 |MESSAGE BSSID Adresss has been chnaged from 00:13:10:65:94:33 |SSID dd-wrt |BSSID 00:57:12:65:94:33 |Channel 6
